Swiss,39.31|Swiss,13.18
Cheddar,64.92|Wensleydale,22.91
Swiss,17.27|Cheddar,2.23
Wensleydale,68.41|Swiss,26.56
Wensleydale,58.42|Cheddar,18.25
Wensleydale,41.88|Swiss,8.54
Cheddar,50.96|Cheddar,20.19
Swiss,24.62|Wensleydale,38.39
Swiss,12.85|Cheddar,23.55
Swiss,4.08|Swiss,44.51
Cheddar,1.60|Swiss,15.88
Swiss,16.31|Cheddar,5.39
Cheddar,27.33|Cheddar,12.39
Cheddar,40.76|Cheddar,16.89
Cheddar,50.12|Swiss,6.97
Swiss,0.58|Wensleydale,55.14
Wensleydale,46.02|Wensleydale,3.10
Wensleydale,5.65|Cheddar,11.97
Swiss,44.60|Cheddar,62.91
Wensleydale,41.02|Wensleydale,42.05
Swiss,40.51|Cheddar,34.83
Cheddar,26.94|Cheddar,46.41
Wensleydale,12.82|Swiss,32.65
Swiss,22.64|Cheddar,38.51
Swiss,79.86|Cheddar,55.72
Swiss,9.87|Wensleydale,60.87
Wensleydale,35.50|Cheddar,4.90
Wensleydale,52.79|Wensleydale,27.31
Swiss,26.42|Cheddar,51.54
Cheddar,3.00|Swiss,23.80
Swiss,57.86|Wensleydale,7.92
Cheddar,1.82|Cheddar,50.11
Cheddar,0.21|Wensleydale,13.90
Cheddar,76.58|Swiss,19.74
Wensleydale,13.10|Cheddar,45.89
Cheddar,7.43|Cheddar,22.96
Wensleydale,46.88|Wensleydale,46.64
Wensleydale,83.64|Swiss,32.32
Cheddar,0.00|Swiss,15.94
Cheddar,50.30|Swiss,61.16
Cheddar,12.95|Wensleydale,20.19
Swiss,43.73|Wensleydale,10.98
Wensleydale,3.33|Wensleydale,6.13
Swiss,13.12|Cheddar,34.48
Wensleydale,1.75|Cheddar,32.74
Cheddar,0.64|Cheddar,5.14
Wensleydale,19.21|Wensleydale,9.82
Swiss,3.39|Swiss,1.47
Swiss,10.01|Swiss,73.52
Swiss,2.27|Swiss,4.28
Cheddar,14.47|Cheddar,10.52
Swiss,18.43|Cheddar,10.29
Cheddar,45.04|Cheddar,71.50
Swiss,3.01|Wensleydale,4.38
Swiss,5.99|Wensleydale,19.07
Swiss,1.82|Cheddar,1.93
Swiss,81.58|Cheddar,15.76
Swiss,0.10|Swiss,21.51
Wensleydale,0.00|Cheddar,27.82
Cheddar,17.60|Swiss,82.07
Swiss,15.76|Cheddar,23.70
Wensleydale,33.12|Cheddar,40.64
Cheddar,27.11|Swiss,60.54
Cheddar,54.66|Wensleydale,16.48
Cheddar,3.97|Wensleydale,13.82
Cheddar,29.33|Cheddar,1.20
Swiss,5.45|Cheddar,19.37
Cheddar,2.73|Wensleydale,47.71
Swiss,21.07|Wensleydale,28.83
Wensleydale,11.93|Wensleydale,2.05
Wensleydale,26.46|Cheddar,11.88
Cheddar,44.26|Cheddar,4.37
Wensleydale,18.24|Wensleydale,54.12
Wensleydale,7.06|Swiss,17.25
Wensleydale,0.24|Wensleydale,3.39
Wensleydale,57.22|Wensleydale,26.79
Cheddar,0.11|Cheddar,11.69
Wensleydale,36.55|Swiss,0.32
Cheddar,12.62|Swiss,1.56
Cheddar,5.53|Wensleydale,8.16
Cheddar,48.30|Wensleydale,23.57
Swiss,10.69|Swiss,3.00
Cheddar,34.22|Swiss,15.97
Wensleydale,30.55|Swiss,15.65
Wensleydale,60.53|Swiss,20.53
Cheddar,7.33|Cheddar,43.95
Swiss,30.37|Wensleydale,19.04
Cheddar,62.59|Swiss,51.17
Cheddar,28.67|Wensleydale,31.71
Wensleydale,26.42|Wensleydale,39.42
Swiss,94.03|Cheddar,91.25
Wensleydale,3.77|Cheddar,10.09
Cheddar,21.34|Swiss,21.37
Cheddar,38.73|Wensleydale,15.40
Cheddar,4.03|Wensleydale,61.99
Wensleydale,10.17|Wensleydale,25.39
Swiss,18.79|Swiss,30.13
Cheddar,11.39|Cheddar,33.72
Swiss,31.11|Wensleydale,3.60
Wensleydale,25.20|Cheddar,30.11
Wensleydale,17.34|Swiss,18.80
Wensleydale,20.19|Cheddar,26.58
Cheddar,51.33|Wensleydale,53.41
Wensleydale,7.15|Cheddar,25.24
Wensleydale,1.57|Wensleydale,34.49
Wensleydale,24.35|Wensleydale,0.00
Cheddar,28.27|Wensleydale,4.92
Swiss,25.09|Wensleydale,16.36
Cheddar,3.91|Wensleydale,13.58
Wensleydale,21.90|Swiss,15.38
Cheddar,18.62|Cheddar,8.84
Cheddar,26.65|Cheddar,20.60
Cheddar,7.97|Cheddar,12.67
Cheddar,6.10|Wensleydale,0.63
Wensleydale,2.12|Wensleydale,10.88
Wensleydale,13.77|Swiss,28.66
Cheddar,2.30|Cheddar,2.92
Swiss,37.24|Cheddar,20.86
Swiss,44.85|Swiss,26.90
Cheddar,78.93|Swiss,4.38
Wensleydale,33.61|Swiss,9.76
Wensleydale,4.47|Cheddar,67.82
Swiss,3.47|Wensleydale,0.84
Cheddar,11.08|Wensleydale,49.19
Cheddar,53.16|Cheddar,49.95
Cheddar,20.35|Swiss,32.44
Wensleydale,25.64|Cheddar,20.84
Wensleydale,13.76|Wensleydale,12.12
Cheddar,59.40|Wensleydale,17.70
Cheddar,1.97|Swiss,25.89
Cheddar,3.43|Swiss,16.01
Wensleydale,4.28|Swiss,21.89
Cheddar,57.18|Wensleydale,10.10
Wensleydale,48.83|Swiss,13.48
Swiss,11.73|Wensleydale,89.20
Cheddar,3.78|Swiss,27.56
Cheddar,63.95|Swiss,0.00
Cheddar,50.01|Cheddar,0.71
Wensleydale,23.68|Cheddar,4.93
Cheddar,2.34|Wensleydale,5.19
Swiss,30.49|Wensleydale,70.01
Wensleydale,44.66|Swiss,5.95
Cheddar,42.31|Cheddar,55.74
Swiss,3.46|Wensleydale,49.51
Swiss,68.07|Cheddar,52.26
Wensleydale,7.29|Cheddar,17.30
Wensleydale,0.21|Cheddar,26.10
Swiss,54.27|Swiss,3.03
Wensleydale,62.52|Swiss,46.03
Cheddar,17.59|Cheddar,14.78
Wensleydale,8.43|Cheddar,72.70
Swiss,20.92|Cheddar,2.40
Wensleydale,16.05|Wensleydale,26.95
Cheddar,2.47|Wensleydale,15.49
Swiss,3.18|Cheddar,7.51
Wensleydale,2.61|Cheddar,0.16
Swiss,54.82|Wensleydale,64.00
Swiss,68.87|Swiss,58.74
Cheddar,25.74|Cheddar,44.29
Wensleydale,43.72|Wensleydale,13.34
Wensleydale,20.86|Wensleydale,0.61
Swiss,28.99|Wensleydale,12.78
Cheddar,31.20|Swiss,0.14
Cheddar,53.58|Swiss,12.21
Cheddar,31.39|Swiss,42.17
Swiss,4.29|Swiss,26.97
Wensleydale,17.24|Cheddar,2.12
Wensleydale,39.27|Wensleydale,32.71
Swiss,8.23|Cheddar,18.98
Swiss,47.89|Cheddar,3.83
Wensleydale,24.84|Cheddar,11.60
Wensleydale,26.43|Wensleydale,15.43
Swiss,21.11|Cheddar,49.33
Cheddar,1.13|Cheddar,26.11
Wensleydale,0.35|Wensleydale,37.18
Wensleydale,74.73|Wensleydale,34.34
Cheddar,67.91|Swiss,8.85
Wensleydale,9.65|Wensleydale,0.32
Cheddar,3.50|Swiss,7.48
Cheddar,13.05|Swiss,24.83
Swiss,8.28|Wensleydale,33.71
Swiss,42.48|Cheddar,88.60
Swiss,18.03|Wensleydale,26.36
Swiss,11.33|Wensleydale,75.03
Cheddar,6.07|Swiss,19.23
Cheddar,10.42|Swiss,25.91
Swiss,1.36|Swiss,17.84
Wensleydale,13.29|Wensleydale,59.51
Swiss,6.43|Wensleydale,1.41
Wensleydale,30.06|Swiss,26.90
Swiss,10.93|Wensleydale,35.65
Cheddar,20.94|Swiss,25.65
Cheddar,22.60|Cheddar,48.43
Swiss,8.75|Wensleydale,80.21
Wensleydale,23.62|Wensleydale,44.36
Swiss,86.85|Wensleydale,4.68
Swiss,35.34|Cheddar,13.12
Swiss,7.24|Wensleydale,0.50
Cheddar,54.32|Wensleydale,6.80
Wensleydale,62.31|Cheddar,9.03
Swiss,16.16|Swiss,19.91
Swiss,1.32|Wensleydale,66.51
Cheddar,14.59|Cheddar,63.87
Cheddar,53.67|Wensleydale,76.73
Cheddar,63.96|Cheddar,68.66
Wensleydale,2.65|Wensleydale,33.23
Wensleydale,15.04|Cheddar,3.75
Swiss,18.10|Cheddar,14.21
Cheddar,20.39|Wensleydale,17.11
Cheddar,25.30|Wensleydale,48.13
Swiss,65.02|Cheddar,59.35
Wensleydale,15.56|Cheddar,0.31
Swiss,5.30|Cheddar,67.06
Swiss,61.67|Wensleydale,4.16
Wensleydale,40.38|Wensleydale,8.96
Swiss,19.64|Swiss,45.81
Wensleydale,63.76|Cheddar,33.54
Swiss,1.45|Cheddar,5.12
Swiss,19.19|Wensleydale,16.99
Swiss,19.61|Cheddar,10.60
Swiss,19.17|Wensleydale,65.81
Cheddar,45.61|Wensleydale,21.15
Cheddar,11.23|Swiss,11.79
Swiss,57.78|Cheddar,2.71
Cheddar,1.56|Cheddar,15.67
Wensleydale,25.79|Cheddar,22.38
Wensleydale,4.29|Wensleydale,21.02
Wensleydale,62.49|Wensleydale,1.91
Wensleydale,86.49|Swiss,7.01
Swiss,9.25|Swiss,20.08
Swiss,24.07|Wensleydale,14.02
Cheddar,30.18|Cheddar,33.88
Cheddar,35.18|Swiss,37.44
Swiss,16.91|Wensleydale,43.08
Wensleydale,13.44|Cheddar,82.18
Wensleydale,29.74|Cheddar,37.05
Cheddar,1.97|Cheddar,5.45
Cheddar,17.66|Swiss,13.84
Swiss,3.54|Cheddar,8.37
Swiss,38.69|Wensleydale,4.68
Wensleydale,14.94|Swiss,13.72
Wensleydale,45.53|Swiss,26.39
Cheddar,0.84|Wensleydale,12.55
Cheddar,88.45|Swiss,15.51
Swiss,68.38|Wensleydale,9.65
Wensleydale,41.35|Swiss,0.80
Cheddar,30.16|Cheddar,10.81
Swiss,9.27|Swiss,16.58
Wensleydale,57.74|Wensleydale,33.49
Cheddar,0.01|Swiss,11.52
Wensleydale,77.48|Swiss,3.15
Wensleydale,9.18|Wensleydale,33.32
Wensleydale,32.58|Swiss,27.47
Swiss,33.87|Wensleydale,58.44
Swiss,5.98|Wensleydale,15.67
Swiss,37.02|Swiss,2.45
Wensleydale,0.68|Cheddar,1.88
Swiss,23.98|Cheddar,40.92
Swiss,14.13|Wensleydale,45.95
Cheddar,38.79|Swiss,40.46
Wensleydale,6.16|Wensleydale,48.92
Cheddar,70.79|Cheddar,27.85
Swiss,1.51|Wensleydale,50.11
Cheddar,4.42|Cheddar,6.60
Wensleydale,32.35|Swiss,13.46
Swiss,41.68|Cheddar,4.24
Wensleydale,0.00|Cheddar,12.01
Cheddar,15.22|Cheddar,8.26
Swiss,21.26|Swiss,19.26
Wensleydale,52.60|Swiss,10.82
Swiss,66.67|Swiss,40.53
Cheddar,2.80|Swiss,14.57
Swiss,2.01|Swiss,19.99
Swiss,60.07|Cheddar,22.55
Swiss,41.65|Swiss,0.00
Cheddar,22.96|Wensleydale,70.31
Swiss,1.93|Wensleydale,25.65
Wensleydale,1.03|Cheddar,54.87
Swiss,5.32|Swiss,62.56
Swiss,24.91|Wensleydale,28.88
Cheddar,74.78|Wensleydale,27.25
Wensleydale,1.77|Swiss,0.89
Swiss,44.36|Cheddar,33.50
Wensleydale,24.14|Wensleydale,37.01
Cheddar,24.35|Wensleydale,72.32
Cheddar,36.95|Cheddar,1.14
Swiss,52.15|Wensleydale,4.19
Swiss,10.27|Wensleydale,44.91
Swiss,16.05|Swiss,22.36
Wensleydale,38.70|Wensleydale,42.74
Swiss,16.30|Cheddar,12.20
Cheddar,57.22|Swiss,7.56
Swiss,0.71|Swiss,16.57
Cheddar,42.04|Wensleydale,61.31
Wensleydale,20.85|Swiss,1.28
Cheddar,40.16|Wensleydale,4.49
Swiss,11.54|Wensleydale,4.17
Swiss,1.09|Cheddar,17.11
Wensleydale,9.67|Swiss,30.44
Swiss,12.65|Wensleydale,48.05
Wensleydale,43.06|Cheddar,26.71
Swiss,2.69|Cheddar,49.38
Swiss,21.88|Cheddar,52.79
